t,p,conc
1e-12,0.25,-0.5
1e-12,0.25471698113207547,-0.490566037735849
1e-12,0.25943396226415094,-0.4811320754716981
1e-12,0.2641509433962264,-0.4716981132075472
1e-12,0.2688679245283019,-0.46226415094339623
1e-12,0.27358490566037735,-0.45283018867924524
1e-12,0.2783018867924528,-0.44339622641509435
1e-12,0.2830188679245283,-0.4339622641509434
1e-12,0.28773584905660377,-0.42452830188679247
1e-12,0.29245283018867924,-0.4150943396226415
1e-12,0.2971698113207547,-0.4056603773584906
1e-12,0.3018867924528302,-0.39622641509433965
1e-12,0.30660377358490565,-0.3867924528301887
1e-12,0.3113207547169811,-0.3773584905660377
1e-12,0.3160377358490566,-0.3679245283018868
1e-12,0.32075471698113206,-0.3584905660377359
1e-12,0.32547169811320753,-0.34905660377358494
1e-12,0.330188679245283,-0.33962264150943394
1e-12,0.33490566037735847,-0.33018867924528306
1e-12,0.33962264150943394,-0.3207547169811321
1e-12,0.3443396226415094,-0.3113207547169812
1e-12,0.3490566037735849,-0.3018867924528302
1e-12,0.35377358490566035,-0.2924528301886793
1e-12,0.3584905660377358,-0.28301886792452835
1e-12,0.3632075471698113,-0.2735849056603774
1e-12,0.3679245283018868,-0.26415094339622636
1e-12,0.37264150943396224,-0.2547169811320755
1e-12,0.37735849056603776,-0.24528301886792445
1e-12,0.3820754716981132,-0.23584905660377364
1e-12,0.3867924528301887,-0.22641509433962256
1e-12,0.3915094339622641,-0.21698113207547176
1e-12,0.39622641509433965,-0.20754716981132068
1e-12,0.40094339622641506,-0.19811320754716988
1e-12,0.4056603773584906,-0.1886792452830188
1e-12,0.410377358490566,-0.179245283018868
1e-12,0.41509433962264153,-0.16981132075471692
1e-12,0.41981132075471694,-0.1603773584905661
1e-12,0.42452830188679247,-0.15094339622641503
1e-12,0.4292452830188679,-0.14150943396226423
1e-12,0.4339622641509434,-0.13207547169811315
1e-12,0.4386792452830188,-0.12264150943396235
1e-12,0.44339622641509435,-0.1132075471698113
1e-12,0.44811320754716977,-0.10377358490566047
1e-12,0.4528301886792453,-0.09433962264150941
1e-12,0.4575471698113207,-0.08490566037735858
1e-12,0.46226415094339623,-0.07547169811320753
